Date,"Total membership","Full members",Guests,"Daily active members","Daily members posting messages","Weekly active members","Weekly members posting messages","Messages in public channels","Messages in private channels","Messages in shared channels","Messages in DMs","Percentage of messages, public channels","Percentage of messages, private channels","Percentage of messages, DMs","Percentage of views, public channels","Percentage of views, private channels","Percentage of views, DMs",Name,"Public channels, single-workspace","Messages posted"
2015-12-07,0,0,0,2,2,0,0,1,0,0,47,0.0208,0,0.9792,0,0,0,0,0,0
2015-12-08,0,0,0,2,2,0,0,0,0,0,64,0,0,1,0,0,0,0,0,0
2015-12-09,0,0,0,5,4,0,0,55,0,0,176,0.2381,0,0.7619,0,0,0,0,0,0
2015-12-10,0,0,0,4,3,0,0,12,0,0,38,0.24,0,0.76,0,0,0,0,0,0
2015-12-11,0,0,0,4,4,0,0,4,0,0,121,0.032,0,0.968,0,0,0,0,0,0
2015-12-12,0,0,0,4,4,0,0,11,0,0,18,0.3793,0,0.6207,0,0,0,0,0,0
2015-12-13,0,0,0,4,3,0,0,32,0,0,109,0.227,0,0.773,0,0,0,0,0,0
2015-12-14,0,0,0,6,5,0,0,40,0,0,184,0.1786,0,0.8214,0,0,0,0,0,0
2015-12-15,0,0,0,4,4,0,0,49,0,0,125,0.2816,0,0.7184,0,0,0,0,0,0
2015-12-16,0,0,0,4,4,0,0,18,0,0,108,0.1429,0,0.8571,0,0,0,0,0,0
2015-12-17,0,0,0,5,5,0,0,27,0,0,59,0.314,0,0.686,0,0,0,0,0,0
2015-12-18,0,0,0,5,3,0,0,4,0,0,20,0.1667,0,0.8333,0,0,0,0,0,0
2015-12-19,0,0,0,3,2,0,0,34,0,0,3,0.9189,0,0.0811,0,0,0,0,0,0
2015-12-20,0,0,0,4,3,0,0,4,0,0,15,0.2105,0,0.7895,0,0,0,0,0,0
2015-12-21,0,0,0,6,5,0,0,13,0,0,110,0.1057,0,0.8943,0,0,0,0,0,0
2015-12-22,0,0,0,4,4,0,0,33,0,0,145,0.1854,0,0.8146,0,0,0,0,0,0
2015-12-23,0,0,0,6,4,0,0,3,0,0,66,0.0435,0,0.9565,0,0,0,0,0,0
